doi	Institution	Journal Title	Journal Discipline	Journal ISSN	Journal eISSN	Year
10.1007/s10677-018-9886-6	Lund University	Ethical Theory and Moral Practice	Philosophy	1386-2820	1572-8447	2018
10.1007/s00167-018-4954-y	University of Gothenburg	"Knee Surgery, Sports Traumatology, Arthroscopy"	Medicine & Public Health	0942-2056	1433-7347	2018
10.1007/s10270-018-0675-4	Mälardalen University	Software & Systems Modeling	Computer Science	1619-1366	1619-1374	2018
10.1007/s00374-018-1281-x	Swedish University of Agricultural Sciences	Biology and Fertility of Soils	Life Sciences	0178-2762	1432-0789	2018
10.1007/s00415-018-8857-0	Uppsala University	Journal of Neurology	Medicine & Public Health	0340-5354	1432-1459	2018
10.1007/s10337-018-3519-z	Karlstad University	Chromatographia	Chemistry	1458659	1612-1112	2018
10.1007/s10067-018-4079-1	Karolinska Institute	Clinical Rheumatology	Medicine & Public Health	0770-3198	1434-9949	2018
10.1007/s10586-018-2718-6	Karlstad University	Cluster Computing	Computer Science	1386-7857	1573-7543	2018
10.1007/s10803-018-3588-8	Karolinska Institute	Journal of Autism and Developmental Disorders	Psychology	0162-3257	1573-3432	2018
10.1007/s11239-018-1662-x	Lund University	Journal of Thrombosis and Thrombolysis	Medicine & Public Health	0929-5305	1573-742X	2018
10.1007/s12032-018-1122-7	University of Gothenburg	Medical Oncology	Medicine & Public Health	1357-0560	1559-131X	2018
10.1007/s11930-018-0147-4	Karolinska Institute	Current Sexual Health Reports	Medicine & Public Health	1548-3584	1548-3592	2018
10.1007/s11661-018-4600-9	University West	Metallurgical and Materials Transactions A	Materials Science	1073-5623	1543-1940	2018
10.1007/s00607-018-0614-9	Linnaeus University	Computing	Computer Science	0010-485X	1436-5057	2018
10.1007/s13324-018-0226-8	Stockholm University	Analysis and Mathematical Physics	Mathematics	1664-2368	1664-235X	2018
10.1007/s12053-018-9662-4	Lund University	Energy Efficiency	Engineering	1570-646X	1570-6478	2018
10.1007/s00330-018-5385-3	Lund University	European Radiology	Medicine & Public Health	0938-7994	1432-1084	2018
10.1007/s00404-018-4773-x	Karolinska Institute	Archives of Gynecology and Obstetrics	Medicine & Public Health	0932-0067	1432-0711	2018
10.1007/s00262-018-2161-9	University of Gothenburg	"Cancer Immunology, Immunotherapy"	Medicine & Public Health	0340-7004	1432-0851	2018
10.1007/s10111-018-0482-2	Linnaeus University	"Cognition, Technology & Work"	Computer Science	1435-5558	1435-5566	2018
10.1007/s00163-018-0286-7	Chalmers University of Technology	Research in Engineering Design	Engineering	0934-9839	1435-6066	2018
10.1007/s10560-018-0544-6	Örebro University	Child and Adolescent Social Work Journal	Psychology	0738-0151	1573-2797	2018
10.1007/s10886-018-0950-4	Swedish University of Agricultural Sciences	Journal of Chemical Ecology	Life Sciences	0098-0331	1573-1561	2018
10.1007/s12104-018-9820-9	Lund University	Biomolecular NMR Assignments	Physics	1874-2718	1874-270X	2018
10.1007/s11367-018-1452-x	Chalmers University of Technology	The International Journal of Life Cycle Assessment	Environment	0948-3349	1614-7502	2018
10.1007/s11858-018-0928-2	Linköping University	ZDM	Education	1863-9690	1863-9704	2018
10.1007/s00574-018-0087-7	Karlstad University	"Bulletin of the Brazilian Mathematical Society, New Series"	Mathematics	1678-7544	1678-7714	2018
10.1007/s11858-018-0935-3	University of Gothenburg	ZDM	Education	1863-9690	1863-9704	2018
10.1007/s00216-018-1039-1	Lund University	Analytical and Bioanalytical Chemistry	Chemistry	1618-2642	1618-2650	2018
10.1007/s11187-018-0040-6	Linköping University	Small Business Economics	Business and Management	0921-898X	1573-0913	2018
10.1007/s10843-018-0228-5	Mid Sweden University	Journal of International Entrepreneurship	Business and Management	1570-7385	1573-7349	2018
10.1007/s11095-018-2403-8	Uppsala University	Pharmaceutical Research	Biomedicine	0724-8741	1573-904X	2018
10.1007/s10566-018-9451-4	Stockholm University	Child & Youth Care Forum	Psychology	1053-1890	1573-3319	2018
10.1007/s11244-018-0939-9	Royal Institute of Technology	Topics in Catalysis	Chemistry	1022-5528	1572-9028	2018
10.1007/s00365-018-9423-9	Lund University	Constructive Approximation	Mathematics	0176-4276	1432-0940	2018
10.1007/s11748-018-0918-x	Lund University	General Thoracic and Cardiovascular Surgery	Medicine & Public Health	1863-6705	1863-6713	2018
10.1007/s40520-018-0947-4	Lund University	Aging Clinical and Experimental Research	Medicine & Public Health		1720-8319	2018
10.1007/s41871-018-0014-y	Royal Institute of Technology	Nanomanufacturing and Metrology	Engineering	2520-811X	2520-8128	2018
10.1007/s10494-018-9908-4	Royal Institute of Technology	"Flow, Turbulence and Combustion"	Engineering	1386-6184	1573-1987	2018
10.1007/s10758-018-9360-5	Stockholm University	"Technology, Knowledge and Learning"	Education	2211-1662	2211-1670	2018
10.1007/s10811-018-1481-7	Chalmers University of Technology	Journal of Applied Phycology	Life Sciences	0921-8971	1573-5176	2018
10.1007/s10584-018-2194-2	Stockholm University	Climatic Change	Earth Sciences	0165-0009	1573-1480	2018
10.1007/s11257-018-9202-0	University of Skövde	User Modeling and User-Adapted Interaction	Computer Science	0924-1868	1573-1391	2018
10.1007/s00253-018-8997-2	Lund University	Applied Microbiology and Biotechnology	Life Sciences	0175-7598	1432-0614	2018
10.1007/s00401-018-1851-x	University of Gothenburg	Acta Neuropathologica	Medicine & Public Health	1615104	1432-0533	2018
10.1007/s11356-018-2112-1	Stockholm University	Environmental Science and Pollution Research	Environment	0944-1344	1614-7499	2018
10.1007/s00228-018-2456-y	Uppsala University	European Journal of Clinical Pharmacology	Biomedicine	0031-6970	1432-1041	2018
10.1007/s00158-018-1989-0	Linköping University	Structural and Multidisciplinary Optimization	Engineering	1615-147X	1615-1488	2018
10.1007/s00590-018-2203-1	Karolinska Institute	European Journal of Orthopaedic Surgery & Traumatology	Medicine & Public Health	1633-8065	1432-1068	2018
10.1007/s10843-018-0230-y	Örebro University	Journal of International Entrepreneurship	Business and Management	1570-7385	1573-7349	2018
10.1007/s11187-018-0032-6	University of Gothenburg	Small Business Economics	Business and Management	0921-898X	1573-0913	2018
10.1007/s13679-018-0310-2	Swedish School of Sport and Health Sciences (GIH)	Current Obesity Reports	Medicine & Public Health		2162-4968	2018
10.1007/s10490-018-9573-0	Lund University	Asia Pacific Journal of Management	Business and Management	0217-4561	1572-9958	2018
10.1007/s11759-018-9338-x	Uppsala University	Archaeologies	Social Sciences	1555-8622	1935-3987	2018
10.1007/s10018-018-0216-y	Lulea University of Technology	Environmental Economics and Policy Studies	Economics	1432-847X	1867-383X	2018
10.1007/s41315-018-0055-9	Mälardalen University	International Journal of Intelligent Robotics and Applications	Computer Science	2366-5971	2366-598X	2018
10.1007/s10680-018-9490-4	Stockholm University	European Journal of Population	Social Sciences	0168-6577	1572-9885	2018
10.1007/s10570-018-1776-5	Mid Sweden University	Cellulose	Chemistry	0969-0239	1572-882X	2018
10.1007/s00340-018-6951-8	Umea University	Applied Physics B	Physics	0946-2171	1432-0649	2018
10.1007/s00127-018-1515-0	Karolinska Institute	Social Psychiatry and Psychiatric Epidemiology	Medicine & Public Health	0933-7954	1433-9285	2018
10.1007/s00168-018-0863-8	Jönköping University	The Annals of Regional Science	Economics	0570-1864	1432-0592	2018
10.1007/s10111-018-0485-z	Swedish National Road and Transport Research Institute (VTI)	"Cognition, Technology & Work"	Computer Science	1435-5558	1435-5566	2018
10.1007/s11606-018-4409-7	Karolinska Institute	Journal of General Internal Medicine	Medicine & Public Health	0884-8734	1525-1497	2018
10.1007/s11538-018-0428-0	Uppsala University	Bulletin of Mathematical Biology	Mathematics	0092-8240	1522-9602	2018
10.1007/s10803-018-3567-0	Lund University	Journal of Autism and Developmental Disorders	Psychology	0162-3257	1573-3432	2018
10.1007/s10450-018-9948-z	Lulea University of Technology	Adsorption	Chemistry	0929-5607	1572-8757	2018
10.1007/s11265-018-1369-4	Uppsala University	Journal of Signal Processing Systems	Engineering	1939-8018	1939-8115	2018
10.1007/s00702-018-1886-0	Lund University	Journal of Neural Transmission	Medicine & Public Health	0300-9564	1435-1463	2018
10.1007/s10910-018-0910-9	Royal Institute of Technology	Journal of Mathematical Chemistry	Chemistry	0259-9791	1572-8897	2018
10.1007/s40520-018-0944-7	Umea University	Aging Clinical and Experimental Research	Medicine & Public Health		1720-8319	2018
10.1007/s10494-018-9914-6	Royal Institute of Technology	"Flow, Turbulence and Combustion"	Engineering	1386-6184	1573-1987	2018
10.1007/s00167-018-4953-z	University of Gothenburg	"Knee Surgery, Sports Traumatology, Arthroscopy"	Medicine & Public Health	0942-2056	1433-7347	2018
10.1007/s00208-018-1678-8	University of Gothenburg	Mathematische Annalen	Mathematics	0025-5831	1432-1807	2018
10.1007/s00383-018-4266-9	Karolinska Institute	Pediatric Surgery International	Medicine & Public Health	0179-0358	1437-9813	2018
10.1007/s00253-018-8990-9	Chalmers University of Technology	Applied Microbiology and Biotechnology	Life Sciences	0175-7598	1432-0614	2018
10.1007/s10111-018-0478-y	Swedish National Road and Transport Research Institute (VTI)	"Cognition, Technology & Work"	Computer Science	1435-5558	1435-5566	2018
10.1007/s10115-018-1201-2	Linköping University	Knowledge and Information Systems	Computer Science	0219-1377	0219-3116	2018
10.1007/s11187-018-0045-1	Royal Institute of Technology	Small Business Economics	Business and Management	0921-898X	1573-0913	2018
10.1007/s10940-018-9380-2	Södertörn University	Journal of Quantitative Criminology	Criminology and Criminal Justice	0748-4518	1573-7799	2018
10.1007/s13361-018-1912-3	Lund University	Journal of The American Society for Mass Spectrometry	Chemistry	1044-0305	1879-1123	2018
10.1007/s11187-018-0043-3	Södertörn University	Small Business Economics	Business and Management	0921-898X	1573-0913	2018
10.1007/s11064-018-2521-z	Lund University	Neurochemical Research	Biomedicine	0364-3190	1573-6903	2018
10.1007/s11136-018-1848-x	Linköping University	Quality of Life Research	Medicine & Public Health	0962-9343	1573-2649	2018
10.1007/s00020-018-2448-4	Lund University	Integral Equations and Operator Theory	Mathematics	0378-620X	1420-8989	2018
10.1007/s10610-018-9387-0	Karolinska Institute	European Journal on Criminal Policy and Research	Criminology and Criminal Justice	0928-1371	1572-9869	2018
10.1007/s00394-018-1727-9	Lund University	European Journal of Nutrition	Chemistry	1436-6207	1436-6215	2018
10.1007/s00216-018-1127-2	Lund University	Analytical and Bioanalytical Chemistry	Chemistry	1618-2642	1618-2650	2018
10.1007/s00586-018-5619-8	Lund University	European Spine Journal	Medicine & Public Health	0940-6719	1432-0932	2018
10.1007/s00205-018-1251-3	Linköping University	Archive for Rational Mechanics and Analysis	Physics	0003-9527	1432-0673	2018
10.1007/s00109-018-1637-6	Karolinska Institute	Journal of Molecular Medicine	Biomedicine	0946-2716	1432-1440	2018
10.1007/s40368-018-0347-7	University of Gothenburg	European Archives of Paediatric Dentistry	Dentistry	1818-6300	1996-9805	2018
10.1007/s00296-018-4063-8	Lund University	Rheumatology International	Medicine & Public Health	0172-8172	1437-160X	2018
10.1007/s10863-018-9760-1	Karolinska Institute	Journal of Bioenergetics and Biomembranes	Chemistry	0145-479X	1573-6881	2018
10.1007/s10995-018-2525-y	Mälardalen University	Maternal and Child Health Journal	Medicine & Public Health	1092-7875	1573-6628	2018
10.1007/s10664-018-9620-y	Blekinge Institute of Technology	Empirical Software Engineering	Computer Science	1382-3256	1573-7616	2018
10.1007/s11121-018-0893-6	Örebro University	Prevention Science	Medicine & Public Health	1389-4986	1573-6695	2018
10.1007/s41237-018-0051-2	Linköping University	Behaviormetrika	Statistics	0385-7417	1349-6964	2018
10.1007/s11625-018-0577-y	Lund University	Sustainability Science	Environment	1862-4065	1862-4057	2018
10.1007/s40889-018-0055-5	Jönköping University	International Journal of Ethics Education	Philosophy	2363-9997	2364-0006	2018
10.1007/s10967-018-5922-1	Chalmers University of Technology	Journal of Radioanalytical and Nuclear Chemistry	Chemistry	0236-5731	1588-2780	2018
10.1007/s00020-018-2467-1	Stockholm University	Integral Equations and Operator Theory	Mathematics	0378-620X	1420-8989	2018
10.1007/s12571-018-0790-7	Stockholm University	Food Security	Life Sciences	1876-4517	1876-4525	2018
10.1007/s11406-018-9976-7	Lund University	Philosophia	Philosophy	0048-3893	1574-9274	2018
10.1007/s11525-018-9325-3	Umea University	Morphology	Linguistics	1871-5621	1871-5656	2018
10.1007/s11229-018-1827-3	Royal Institute of Technology	Synthese	Philosophy	0039-7857	1573-0964	2018
10.1007/s10342-018-1120-5	Swedish University of Agricultural Sciences	European Journal of Forest Research	Life Sciences	1612-4669	1612-4677	2018
10.1007/s00423-018-1679-9	Karolinska Institute	Langenbeck's Archives of Surgery	Medicine & Public Health	1435-2443	1435-2451	2018
10.1007/s00442-018-4174-7	Swedish University of Agricultural Sciences	Oecologia	Life Sciences	0029-8549	1432-1939	2018
10.1007/s00394-018-1722-1	University of Gothenburg	European Journal of Nutrition	Chemistry	1436-6207	1436-6215	2018
10.1007/s00384-018-3074-y	Umea University	International Journal of Colorectal Disease	Medicine & Public Health	0179-1958	1432-1262	2018
10.1007/s10915-018-0722-x	Linköping University	Journal of Scientific Computing	Mathematics	0885-7474	1573-7691	2018
10.1007/s11265-018-1370-y	Linköping University	Journal of Signal Processing Systems	Engineering	1939-8018	1939-8115	2018
10.1007/s11060-018-2899-0	Karolinska Institute	Journal of Neuro-Oncology	Medicine & Public Health	0167-594X	1573-7373	2018
10.1007/s41894-018-0029-1	University of Gothenburg	Clinical Dentistry Reviewed	Dentistry		2511-1965	2018
10.1007/s10606-018-9319-z	Stockholm University	Computer Supported Cooperative Work (CSCW)	Computer Science	0925-9724	1573-7551	2018
10.1007/s11024-018-9352-6	Södertörn University	Minerva	Social Sciences	0026-4695	1573-1871	2018
10.1007/s11019-018-9842-1	Malmö University	"Medicine, Health Care and Philosophy"	Philosophy	1386-7423	1572-8633	2018
10.1007/s12187-018-9557-0	Mid Sweden University	Child Indicators Research	Social Sciences	1874-897X	1874-8988	2018
10.1007/s10654-018-0411-y	Karolinska Institute	European Journal of Epidemiology	Medicine & Public Health	0393-2990	1573-7284	2018
10.1007/s10531-018-1562-6	Linköping University	Biodiversity and Conservation	Life Sciences	0960-3115	1572-9710	2018
10.1007/s00787-018-1161-9	Karolinska Institute	European Child & Adolescent Psychiatry	Medicine & Public Health	1018-8827	1435-165X	2018
10.1007/s00259-018-4012-5	Karolinska Institute	European Journal of Nuclear Medicine and Molecular Imaging	Medicine & Public Health	1619-7070	1619-7089	2018
10.1007/s40647-018-0219-x	Stockholm University	Fudan Journal of the Humanities and Social Sciences	Social Sciences	1674-0750	2198-2600	2018
10.1007/s00427-018-0609-8	Uppsala University	Development Genes and Evolution	Life Sciences	0949-944X	1432-041X	2018
10.1007/s00420-018-1327-2	Umea University	International Archives of Occupational and Environmental Health	Environment	0340-0131	1432-1246	2018
10.1007/s00148-018-0706-z	Lund University	Journal of Population Economics	Economics	0933-1433	1432-1475	2018
10.1007/s00062-018-0697-x	Karolinska Institute	Clinical Neuroradiology	Medicine & Public Health	1869-1439	1869-1447	2018
10.1007/s11187-018-0060-2	University of Gothenburg	Small Business Economics	Business and Management	0921-898X	1573-0913	2018
10.1007/s10915-018-0723-9	Chalmers University of Technology	Journal of Scientific Computing	Mathematics	0885-7474	1573-7691	2018
10.1007/s12350-018-1296-6	Lund University	Journal of Nuclear Cardiology	Medicine & Public Health	1071-3581	1532-6551	2018
10.1007/s10618-018-0571-0	Halmstad University	Data Mining and Knowledge Discovery	Computer Science	1384-5810	1573-756X	2018
10.1007/s00606-018-1515-2	Swedish Museum of Natural History	Plant Systematics and Evolution	Life Sciences	0378-2697	2199-6881	2018
10.1007/s10661-018-6707-2	Linköping University	Environmental Monitoring and Assessment	Environment	0167-6369	1573-2959	2018
10.1007/s41894-018-0027-3	University of Gothenburg	Clinical Dentistry Reviewed	Dentistry		2511-1965	2018
10.1007/s10552-018-1042-z	Lund University	Cancer Causes & Control	Biomedicine	0957-5243	1573-7225	2018
10.1007/s10992-018-9461-6	Stockholm University	Journal of Philosophical Logic	Philosophy	0022-3611	1573-0433	2018
10.1007/s10677-018-9899-1	University of Gothenburg	Ethical Theory and Moral Practice	Philosophy	1386-2820	1572-8447	2018
10.1007/s11356-018-2222-9	Lulea University of Technology	Environmental Science and Pollution Research	Environment	0944-1344	1614-7499	2018
10.1007/s00253-018-9081-7	Swedish University of Agricultural Sciences	Applied Microbiology and Biotechnology	Life Sciences	0175-7598	1432-0614	2018
10.1007/s40692-018-0103-3	Stockholm University	Journal of Computers in Education	Education	2197-9987	2197-9995	2018
10.1007/s00432-018-2646-0	Karolinska Institute	Journal of Cancer Research and Clinical Oncology	Medicine & Public Health	0171-5216	1432-1335	2018
10.1007/s40368-018-0346-8	University of Gothenburg	European Archives of Paediatric Dentistry	Dentistry	1818-6300	1996-9805	2018
10.1007/s10270-018-0683-4	Chalmers University of Technology	Software & Systems Modeling	Computer Science	1619-1366	1619-1374	2018
10.1007/s00267-018-1066-x	Swedish University of Agricultural Sciences	Environmental Management	Environment	0364-152X	1432-1009	2018
10.1007/s10953-018-0756-6	Swedish University of Agricultural Sciences	Journal of Solution Chemistry	Chemistry	0095-9782	1572-8927	2018
10.1007/s10614-018-9818-5	Mälardalen University	Computational Economics	Economics	0927-7099	1572-9974	2018
10.1007/s10856-018-6068-y	University of Gothenburg	Journal of Materials Science: Materials in Medicine	Materials Science	0957-4530	1573-4838	2018
10.1007/s40737-018-0109-1	Umea University	Journal of Psychosocial Rehabilitation and Mental Health	Psychology	2198-9834	2198-963X	2018
10.1007/s41055-018-0027-7	Swedish University of Agricultural Sciences	Food Ethics	Philosophy	2364-6853	2364-6861	2018
10.1007/s41412-018-0071-x	Karlstad University	Homo Oeconomicus	Economics	0943-0180	2366-6161	2018
10.1007/s00268-018-4667-x	Lund University	World Journal of Surgery	Medicine & Public Health	0364-2313	1432-2323	2018
10.1007/s11229-018-1818-4	Uppsala University	Synthese	Philosophy	0039-7857	1573-0964	2018
10.1007/s11005-018-1091-y	Royal Institute of Technology	Letters in Mathematical Physics	Physics	0377-9017	1573-0530	2018
10.1007/s12132-018-9335-6	Royal Institute of Technology	Urban Forum	Social Sciences	1015-3802	1874-6330	2018
10.1007/s40593-018-0167-2	Lund University	International Journal of Artificial Intelligence in Education	Computer Science	1560-4292	1560-4306	2018
10.1007/s10287-018-0317-x	Stockholm University	Computational Management Science	Business and Management	1619-697X	1619-6988	2018
10.1007/s12020-018-1627-z	Karolinska Institute	Endocrine	Medicine & Public Health	1355-008X	1559-0100	2018
10.1007/s11837-018-2919-8	Lulea University of Technology	JOM	Engineering	1047-4838	1543-1851	2018
10.1007/s10854-018-9287-6	Linköping University	Journal of Materials Science: Materials in Electronics	Materials Science	0957-4522	1573-482X	2018
10.1007/s11165-018-9727-6	Uppsala University	Research in Science Education	Education	0157-244X	1573-1898	2018
10.1007/s10798-018-9456-1	Royal Institute of Technology	International Journal of Technology and Design Education	Education	0957-7572	1573-1804	2018
10.1007/s40869-018-0055-x	Karlstad University	The Computer Games Journal	Computer Science		2052-773X	2018
10.1007/s00127-018-1524-z	Uppsala University	Social Psychiatry and Psychiatric Epidemiology	Medicine & Public Health	0933-7954	1433-9285	2018
10.1007/s12665-018-7537-9	Lund University	Environmental Earth Sciences	Earth Sciences	1866-6280	1866-6299	2018
10.1007/s13399-018-0315-9	Lulea University of Technology	Biomass Conversion and Biorefinery	Engineering	2190-6815	2190-6823	2018
10.1007/s10961-018-9668-2	Chalmers University of Technology	The Journal of Technology Transfer	Business and Management	0892-9912	1573-7047	2018
10.1007/s10955-018-2063-4	Karlstad University	Journal of Statistical Physics	Physics	0022-4715	1572-9613	2018
10.1007/s11837-018-2921-1	Royal Institute of Technology	JOM	Engineering	1047-4838	1543-1851	2018
10.1007/s11665-018-3393-8	Royal Institute of Technology	Journal of Materials Engineering and Performance	Materials Science	1059-9495	1544-1024	2018
10.1007/s10924-018-1234-3	Lund University	Journal of Polymers and the Environment	Chemistry	1566-2543	1572-8919	2018
10.1007/s11081-018-9387-4	Blekinge Institute of Technology	Optimization and Engineering	Mathematics	1389-4420	1573-2924	2018
10.1007/s12591-018-0422-x	Umea University	Differential Equations and Dynamical Systems	Mathematics	0971-3514	0974-6870	2018
10.1007/s00592-018-1150-y	Lund University	Acta Diabetologica	Medicine & Public Health	0940-5429	1432-5233	2018
10.1007/s11625-018-0574-1	Stockholm University	Sustainability Science	Environment	1862-4065	1862-4057	2018
10.1007/s12193-018-0264-4	Royal Institute of Technology	Journal on Multimodal User Interfaces	Computer Science	1783-7677	1783-8738	2018
10.1245/s10434-018-6459-9	University of Gothenburg	Annals of Surgical Oncology	Medicine & Public Health	1068-9265	1534-4681	2018
10.1007/s00040-018-0624-9	Uppsala University	Insectes Sociaux	Life Sciences	0020-1812	1420-9098	2018
10.1007/s10978-018-9227-x	Halmstad University	Law and Critique	Philosophy	0957-8536	1572-8617	2018
10.1007/s11698-018-0172-6	Lund University	Cliometrica	Economics	1863-2505	1863-2513	2018
10.1007/s00348-018-2548-6	Lulea University of Technology	Experiments in Fluids	Engineering	0723-4864	1432-1114	2018
10.1007/s12520-018-0642-6	Lund University	Archaeological and Anthropological Sciences	Earth Sciences	1866-9557	1866-9565	2018
10.1007/s00484-018-1556-9	Umea University	International Journal of Biometeorology	Environment	0020-7128	1432-1254	2018
10.1007/s00420-018-1316-5	Umea University	International Archives of Occupational and Environmental Health	Environment	0340-0131	1432-1246	2018
10.1007/s00234-018-2033-1	Karolinska Institute	Neuroradiology	Medicine & Public Health	0028-3940	1432-1920	2018
10.1007/s00228-018-2480-y	Karolinska Institute	European Journal of Clinical Pharmacology	Biomedicine	0031-6970	1432-1041	2018
10.1007/s12116-018-9262-5	University of Gothenburg	Studies in Comparative International Development	Social Sciences	0039-3606	1936-6167	2018
10.1007/s11998-018-0089-9	Royal Institute of Technology	Journal of Coatings Technology and Research	Materials Science	1547-0091	1935-3804	2018
10.1007/s10533-018-0448-8	Lund University	Biogeochemistry	Earth Sciences	0168-2563	1573-515X	2018
10.1007/s10967-018-5907-0	Lund University	Journal of Radioanalytical and Nuclear Chemistry	Chemistry	0236-5731	1588-2780	2018
10.1007/s10494-018-9923-5	Royal Institute of Technology	"Flow, Turbulence and Combustion"	Engineering	1386-6184	1573-1987	2018
10.1007/s11406-018-9975-8	Uppsala University	Philosophia	Philosophy	0048-3893	1574-9274	2018
10.1007/s13165-018-0216-z	Swedish University of Agricultural Sciences	Organic Agriculture	Life Sciences	1879-4238	1879-4246	2018
10.1007/s10734-018-0272-z	Linnaeus University	Higher Education	Education	0018-1560	1573-174X	2018
10.1007/s12187-018-9558-z	University of Gothenburg	Child Indicators Research	Social Sciences	1874-897X	1874-8988	2018
10.1007/s00148-018-0702-3	Lund University	Journal of Population Economics	Economics	0933-1433	1432-1475	2018
10.1007/s00125-018-4621-3	Uppsala University	Diabetologia	Medicine & Public Health	0012-186X	1432-0428	2018
10.1007/s00205-018-1223-7	Linköping University	Archive for Rational Mechanics and Analysis	Physics	0003-9527	1432-0673	2018
10.1007/s00787-018-1160-x	Karlstad University	European Child & Adolescent Psychiatry	Medicine & Public Health	1018-8827	1435-165X	2018
10.1007/s00340-018-6992-z	Royal Institute of Technology	Applied Physics B	Physics	0946-2171	1432-0649	2018
10.1007/s00125-018-4641-z	Karolinska Institute	Diabetologia	Medicine & Public Health	0012-186X	1432-0428	2018
10.1007/s00223-018-0427-z	University of Gothenburg	Calcified Tissue International	Life Sciences	0171-967X	1432-0827	2018
10.1007/s10549-018-4803-1	Umea University	Breast Cancer Research and Treatment	Medicine & Public Health	0167-6806	1573-7217	2018
10.1007/s11998-018-0085-0	Uppsala University	Journal of Coatings Technology and Research	Materials Science	1547-0091	1935-3804	2018
10.1007/s11669-018-0636-1	Royal Institute of Technology	Journal of Phase Equilibria and Diffusion	Physics	1547-7037	1863-7345	2018
10.1007/s00726-018-2571-1	Uppsala University	Amino Acids	Life Sciences	0939-4451	1438-2199	2018
10.1007/s10910-018-0906-5	Karolinska Institute	Journal of Mathematical Chemistry	Chemistry	0259-9791	1572-8897	2018
10.1007/s10973-018-7273-0 	Lund University	Journal of Thermal Analysis and Calorimetry	Chemistry	1388-6150	1588-2926	2018
10.1007/s10584-018-2228-9	Linnaeus University	Climatic Change	Earth Sciences	0165-0009	1573-1480	2018
10.1007/s10212-018-0391-z	Umea University	European Journal of Psychology of Education	Education	0256-2928	1878-5174	2018
10.1007/s10342-018-1123-2	Swedish University of Agricultural Sciences	European Journal of Forest Research	Life Sciences	1612-4669	1612-4677	2018
10.1007/s10928-018-9594-9	Uppsala University	Journal of Pharmacokinetics and Pharmacodynamics	Biomedicine	1567-567X	1573-8744	2018
10.1007/s11669-018-0639-y	Uppsala University	Journal of Phase Equilibria and Diffusion	Physics	1547-7037	1863-7345	2018
10.1007/s11095-018-2438-x	Uppsala University	Pharmaceutical Research	Biomedicine	0724-8741	1573-904X	2018
10.1007/s11692-018-9457-8	Örebro University	Evolutionary Biology	Life Sciences	0071-3260	1934-2845	2018
10.1007/s00365-018-9437-3	Chalmers University of Technology	Constructive Approximation	Mathematics	0176-4276	1432-0940	2018
10.1007/s10943-018-0636-9	University of Gävle	Journal of Religion and Health	Medicine & Public Health	0022-4197	1573-6571	2018
10.1007/s10018-018-0219-8	Stockholm School of Economics	Environmental Economics and Policy Studies	Economics	1432-847X	1867-383X	2018
10.1007/s11325-018-1673-z	University of Gothenburg	Sleep and Breathing	Medicine & Public Health	1520-9512	1522-1709	2018
10.1208/s12249-018-1024-1	Uppsala University	AAPS PharmSciTech	Biomedicine		1530-9932	2018
10.1007/s11225-018-9807-7	Royal Institute of Technology	Studia Logica	Philosophy	0039-3215	1572-8730	2018
10.1007/s10680-018-9492-2	Stockholm University	European Journal of Population	Social Sciences	0168-6577	1572-9885	2018
10.1007/s10570-018-1860-x	Royal Institute of Technology	Cellulose	Chemistry	0969-0239	1572-882X	2018
10.1007/s11056-018-9660-6	Swedish University of Agricultural Sciences	New Forests	Life Sciences	0169-4286	1573-5095	2018
10.1007/s10433-018-0480-5	Lund University	European Journal of Ageing	Social Sciences	1613-9372	1613-9380	2018
10.1007/s00421-018-3911-2	Karolinska Institute	European Journal of Applied Physiology	Biomedicine	1439-6319	1439-6327	2018
10.1007/s00401-018-1868-1	Linköping University	Acta Neuropathologica	Medicine & Public Health	0001-6322	1432-0533	2018
10.1007/s00775-018-1583-3	Stockholm University	JBIC Journal of Biological Inorganic Chemistry	Life Sciences	0949-8257	1432-1327	2018
10.1007/s00428-018-2386-1	Karolinska Institute	Virchows Archiv	Medicine & Public Health	0945-6317	1432-2307	2018
10.1007/s00192-018-3684-5	University of Gothenburg	International Urogynecology Journal	Medicine & Public Health	0937-3462	1433-3023	2018
10.1007/s11663-018-1274-z	Jönköping University	Metallurgical and Materials Transactions B	Materials Science	1073-5615	1543-1916	2018
10.1007/s10953-018-0774-4	Chalmers University of Technology	Journal of Solution Chemistry	Chemistry	0095-9782	1572-8927	2018
10.1007/s13181-018-0668-2	Medical Products Agency	Journal of Medical Toxicology	Biomedicine	1556-9039	1937-6995	2018
10.1007/s11081-018-9385-6	Linköping University	Optimization and Engineering	Mathematics	1389-4420	1573-2924	2018
10.1007/s10853-018-2461-7	Linköping University	Journal of Materials Science	Materials Science	0022-2461	1573-4803	2018
10.1007/s10915-018-0751-5	Uppsala University	Journal of Scientific Computing	Mathematics	0885-7474	1573-7691	2018
10.1007/s12571-018-0814-3	Swedish University of Agricultural Sciences	Food Security	Life Sciences	1876-4517	1876-4525	2018
10.1007/s11071-018-4416-6	Uppsala University	Nonlinear Dynamics	Engineering	0924-090X	1573-269X	2018
10.1617/s11527-018-1206-z	Chalmers University of Technology	Materials and Structures	Engineering	1359-5997	1871-6873	2018
10.1007/s11829-018-9617-x	Swedish University of Agricultural Sciences	Arthropod-Plant Interactions	Life Sciences	1872-8855	1872-8847	2018
