institution	period	euro	doi	is_hybrid
hv	2017	704.8960000000001	10.2174/1874434601711010043	FALSE
hv	2017	800.8820000000001	10.1177/2050312117700056	FALSE
hv	2017	2443.387	10.1016/j.measurement.2017.03.043	TRUE
hv	2017	1906.371	10.1016/j.optlastec.2017.05.011	TRUE
hv	2017	1941.2160000000001	10.1108/IJHMA-08-2017-0070	TRUE
hv	2017	1677.0919999999999	10.3389/fpsyt.2017.00204	FALSE
hv	2017	660.782	10.4172/2472-1786.100053	FALSE
hv	2017	752.378	10.3390/coatings7100162	FALSE
hv	2017	271.942	10.5430/jnep.v8n2p8	FALSE
hv	2017	2103.6400000000003	10.1007/s12529-016-9623-2	TRUE
