institution,period,sek,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
ki,2021,17824.05,10.1136/bmjopen-2021-052176,FALSE,,,,,,
ki,2021,16467.68,10.3389/ftox.2021.735331,FALSE,,,,,,
ki,2021,25827.84,10.3389/fcell.2021.741162,FALSE,,,,,,
ki,2021,25854.98,10.3389/fimmu.2021.761317,FALSE,,,,,,
ki,2021,9918.75,10.3389/fcvm.2021.764478,FALSE,,,,,,
ki,2021,25506.59,10.3389/fcell.2021.706687,FALSE,,,,,,
ki,2021,25506.59,10.3389/fimmu.2021.727300,FALSE,,,,,,
ki,2021,13846.36,10.3389/froh.2021.675709,FALSE,,,,,,
ki,2021,25348.47,10.3389/fpsyg.2021.772661,FALSE,,,,,,
ki,2021,16354.63,10.3389/fspor.2021.656413,FALSE,,,,,,
ki,2021,25328.11,10.3389/fneur.2021.765296,FALSE,,,,,,
ki,2021,25132.53,10.3389/fmed.2021.764236,FALSE,,,,,,
ki,2021,25141.08,10.3389/fcell.2021.612714,FALSE,,,,,,
ki,2021,25334.6,10.3389/fped.2021.754941,FALSE,,,,,,
ki,2021,23286.74,10.3389/fchem.2021.768535,FALSE,,,,,,
ki,2021,20283.52,10.3389/fnut.2021.733602,FALSE,,,,,,
ki,2021,26529.06,10.3389/fcell.2021.789676,FALSE,,,,,,
ki,2021,25743.77,10.3389/fgene.2021.736235,FALSE,,,,,,
ki,2021,16797.63,10.3389/fpsyt.2021.782353,FALSE,,,,,,
ki,2021,26633.78,10.3389/fcimb.2021.808601,FALSE,,,,,,
ki,2021,5112.67,10.1177/21649561211058698,FALSE,,,,,,
ki,2021,13446.21,10.1177/20552173211065730,FALSE,,,,,,
ki,2021,12224.21,10.3389/fmicb.2021.696522,FALSE,,,,,,
ki,2021,25392.72,10.3389/fnmol.2021.763777,FALSE,,,,,,
ki,2021,25905.13,10.3389/fnins.2021.716887,FALSE,,,,,,
ki,2021,25506.59,10.3389/fnagi.2021.735334,FALSE,,,,,,
